EMP_ID,EMP_NAME,DEPT_ID,SALARY,MANAGER_ID,JOIN_DATE
1,Employee_1,102,119070,,2020-09-29
2,Employee_2,103,43958,,2021-04-10
3,Employee_3,104,65832,,2020-08-09
4,Employee_4,105,64061,,2022-04-24
5,Employee_5,105,60504,,2020-07-10
6,Employee_6,104,65309,5,2024-01-06
7,Employee_7,102,66466,4,2023-12-07
8,Employee_8,104,97770,7,2020-02-10
9,Employee_9,104,89968,1,2024-03-01
10,Employee_10,105,36437,3,2020-09-01
11,Employee_11,103,98859,6,2021-04-13
12,Employee_12,104,82486,11,2023-04-06
13,Employee_13,102,100059,9,2020-12-01
14,Employee_14,105,36964,2,2020-06-18
15,Employee_15,103,52043,5,2021-07-29
16,Employee_16,101,103919,15,2023-06-19
17,Employee_17,102,77996,9,2023-01-09
18,Employee_18,102,94982,15,2020-05-22
19,Employee_19,104,52789,16,2021-07-16
20,Employee_20,101,55563,18,2020-08-28
21,Employee_21,105,91259,15,2022-12-30
22,Employee_22,102,91536,6,2022-01-23
23,Employee_23,103,91573,17,2024-02-12
24,Employee_24,104,61950,12,2023-02-21
25,Employee_25,103,77518,6,2023-02-02
26,Employee_26,104,62561,10,2024-10-12
27,Employee_27,105,104569,3,2021-09-22
28,Employee_28,101,66586,1,2023-10-18
29,Employee_29,105,79735,12,2024-07-06
30,Employee_30,104,53101,6,2020-02-22
31,Employee_31,101,50737,7,2020-12-23
32,Employee_32,104,115152,7,2020-11-16
33,Employee_33,102,39117,2,2021-09-10
34,Employee_34,103,70301,18,2022-08-06
35,Employee_35,101,43572,6,2020-03-19
36,Employee_36,105,81179,18,2021-04-01
37,Employee_37,101,59265,5,2021-09-25
38,Employee_38,104,55535,4,2022-01-26
39,Employee_39,103,82298,16,2021-09-18
40,Employee_40,105,73304,15,2022-07-26
41,Employee_41,102,106154,20,2020-07-23
42,Employee_42,101,66281,8,2022-03-12
43,Employee_43,105,95961,7,2024-04-11
44,Employee_44,105,43633,2,2020-04-02
45,Employee_45,102,115132,6,2021-01-12
46,Employee_46,102,87891,6,2024-09-29
47,Employee_47,105,57548,9,2020-01-23
48,Employee_48,105,110137,2,2024-03-16
49,Employee_49,102,107208,5,2023-03-17
50,Employee_50,101,52049,5,2020-05-19
51,Employee_51,104,104539,10,2020-05-08
52,Employee_52,104,82453,12,2020-10-11
53,Employee_53,102,59123,9,2023-02-01
54,Employee_54,102,53690,7,2023-04-18
55,Employee_55,105,98915,7,2020-08-16
56,Employee_56,104,113833,13,2021-07-25
57,Employee_57,102,58173,5,2021-04-07
58,Employee_58,103,110385,18,2022-05-27
59,Employee_59,104,93871,18,2021-09-23
60,Employee_60,102,106928,20,2021-02-02
61,Employee_61,105,61050,15,2020-01-26
62,Employee_62,105,116637,14,2022-08-16
63,Employee_63,101,97057,17,2021-10-01
64,Employee_64,104,96731,7,2021-12-28
65,Employee_65,101,57816,12,2023-08-02
66,Employee_66,103,74446,19,2022-08-05
67,Employee_67,101,58638,10,2020-09-11
68,Employee_68,103,67440,11,2021-04-15
69,Employee_69,102,77067,8,2021-01-09
70,Employee_70,103,41732,16,2022-07-12
71,Employee_71,101,67227,9,2022-01-08
72,Employee_72,102,72746,9,2023-01-02
73,Employee_73,104,78224,12,2023-10-04
74,Employee_74,101,102339,1,2022-11-14
75,Employee_75,101,41827,5,2022-05-25
76,Employee_76,102,114209,19,2021-04-30
77,Employee_77,103,42518,14,2020-08-07
78,Employee_78,105,46873,13,2023-09-12
79,Employee_79,103,48891,10,2024-02-12
80,Employee_80,102,84885,1,2020-12-08
81,Employee_81,101,67958,20,2020-01-03
82,Employee_82,103,87513,7,2024-01-06
83,Employee_83,103,103827,1,2021-10-26
84,Employee_84,103,52014,12,2022-05-05
85,Employee_85,104,94546,16,2020-06-23
86,Employee_86,105,82509,17,2021-05-11
87,Employee_87,103,84241,15,2023-05-11
88,Employee_88,103,46337,12,2021-02-28
89,Employee_89,103,55028,13,2021-02-24
90,Employee_90,102,42928,4,2022-12-20
91,Employee_91,102,66347,11,2024-06-27
92,Employee_92,104,50582,6,2022-07-29
93,Employee_93,104,64772,16,2022-05-23
94,Employee_94,101,47603,10,2024-10-22
95,Employee_95,101,57562,14,2024-06-16
96,Employee_96,101,96158,19,2023-01-04
97,Employee_97,104,69684,4,2024-10-08
98,Employee_98,101,99155,19,2022-03-02
99,Employee_99,104,97790,11,2024-05-21
100,Employee_100,105,111316,2,2022-09-09
